Rk,Team,Playoffs,AvAge,GP,GF,GA,SOW,SOL,SRS,SOS,GoalsperGame,EVGF,EVGA,PP,PPO,Pppercent,PPA,PPOA,Pkpercent,SH,SHA,PIMperG,oPIMperG,S,Sper,SA,Svper,SO,W,L,OL,PTS,PTSper
1,Tampa Bay Lightning*,1,27.1,82,319,221,6,1,1.21,-0.05,6.59,233,178,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,62,16,4,128,0.78
2,Boston Bruins*,1,28.7,82,257,212,2,3,0.52,-0.01,5.72,185,148,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,49,24,9,107,0.652
3,Calgary Flames*,1,27.7,82,289,223,0,4,0.7,-0.06,6.24,218,166,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,50,25,7,107,0.652
4,Washington Capitals*,1,28.8,82,274,248,4,1,0.35,-0.01,6.37,220,188,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11,2584,0.904,4,48,26,8,104,0.634
5,New York Islanders*,1,28.4,82,223,191,5,5,0.38,-0.01,5.05,184,146,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,48,27,7,103,0.628
6,San Jose Sharks*,1,29.4,82,289,258,0,3,0.3,-0.04,6.67,223,204,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5,46,27,9,101,0.616
7,Toronto Maple Leafs*,1,27.5,82,286,249,0,2,0.42,-0.01,6.52,235,199,46,211,21.8,41,204,79.9,5,9,6.1,6.7,2736,10.5,2717,0.908,3,46,28,8,100,0.61
8,Nashville Predators*,1,28.9,82,236,212,4,2,0.31,-0.01,5.46,195,159,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7,47,29,6,100,0.61
9,Pittsburgh Penguins*,1,28.4,82,271,238,2,3,0.38,-0.01,6.21,203,178,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7,44,26,12,100,0.61
10,St. Louis Blues*,1,28,82,244,220,3,3,0.28,-0.01,5.66,189,170,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9,45,28,9,99,0.604
11,Winnipeg Jets*,1,26.6,82,270,243,2,1,0.33,-0.02,6.26,198,184,62,250,24.8,52,250,79.2,10,7,9.3,8.7,2557,10.6,2741,0.911,3,47,30,5,99,0.604
12,Carolina Hurricanes*,1,26.8,82,243,221,2,2,0.26,-0.01,5.66,191,169,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6,46,29,7,99,0.604
13,Columbus Blue Jackets*,1,26.6,82,256,231,2,1,0.31,-0.01,5.94,214,195,34,221,15.38,30,200,85,8,6,6.2,6.8,2592,9.9,2418,0.904,9,47,31,4,98,0.598
14,Montreal Canadiens,2,27.9,82,246,236,3,0,0.16,0,5.88,210,186,31,234,13.25,46,241,80.91,5,4,8.3,8.3,2796,8.8,2548,0.907,4,44,30,8,96,0.585
15,Vegas Golden Knights*,1,29.2,82,246,228,3,2,0.19,-0.04,5.78,196,182,39,232,16.81,44,230,80.87,11,2,7.1,7.2,2814,8.7,2399,0.905,9,43,32,7,93,0.567
16,Dallas Stars*,1,28.3,82,209,200,1,2,0.09,0,4.99,160,157,45,214,21.03,41,238,82.77,4,2,7.7,7.3,2519,8.3,2591,0.923,10,43,32,7,93,0.567
17,Colorado Avalanche*,1,27,82,258,244,2,2,0.17,-0.01,6.12,186,181,63,286,22.03,58,272,78.68,9,5,9.4,9.6,2676,9.6,2619,0.907,5,38,30,14,90,0.549
18,Florida Panthers,2,28,82,264,273,3,7,-0.14,0.02,6.55,189,217,72,269,26.77,43,230,81.3,3,13,8.4,9.2,2705,9.8,2516,0.891,1,36,32,14,86,0.524
19,Arizona Coyotes,2,27.2,82,209,220,4,3,-0.14,-0.02,5.23,151,177,42,258,16.28,34,226,84.96,16,9,7.1,8.2,2522,8.3,2526,0.913,6,39,35,8,86,0.524
20,Chicago Blackhawks,2,28.5,82,267,291,3,1,-0.25,0.02,6.8,213,221,48,238,20.17,63,231,72.73,6,7,7.3,7.1,2669,10,2852,0.898,2,36,34,12,84,0.512
21,Minnesota Wild,2,29.5,82,210,233,1,4,-0.3,0.02,5.4,156,185,49,241,20.33,44,240,81.67,5,4,8,8.5,2567,8.2,2419,0.904,2,37,36,9,83,0.506
22,Philadelphia Flyers,2,26.6,82,241,280,3,1,-0.42,0.03,6.35,197,218,40,234,17.09,51,237,78.48,4,11,8.9,8.3,2583,9.3,2665,0.895,3,37,37,8,82,0.5
23,Vancouver Canucks,2,26.9,82,219,248,6,6,-0.35,0.01,5.7,169,192,43,251,17.13,48,254,81.1,7,8,8.8,8.7,2433,9,2597,0.905,1,35,36,11,81,0.494
24,Anaheim Ducks,2,27.5,82,196,248,3,3,-0.63,0.01,5.41,155,183,36,212,16.98,55,271,79.7,5,10,9,7.2,2271,8.6,2725,0.909,4,35,37,10,80,0.488
25,Edmonton Oilers,2,27.2,82,229,271,3,3,-0.51,0.01,6.1,172,202,47,222,21.17,62,246,74.8,10,7,9.2,7.7,2392,9.6,2599,0.896,5,35,38,9,79,0.482
26,New York Rangers,2,27.4,82,221,267,6,5,-0.52,0.03,5.95,170,205,44,227,19.38,58,266,78.2,7,4,10.4,8.5,2393,9.2,2774,0.904,2,32,36,14,78,0.476
27,Buffalo Sabres,2,26.6,82,221,268,5,3,-0.51,0.04,5.96,172,218,46,236,19.49,41,215,80.93,3,9,7,7.5,2697,8.2,2704,0.901,2,33,39,10,76,0.463
28,Detroit Red Wings,2,29.3,82,224,272,3,5,-0.57,0.04,6.05,178,209,39,216,18.06,56,245,77.14,7,7,7.9,7.3,2394,9.4,2761,0.901,2,32,40,10,74,0.451
29,New Jersey Devils,2,27.5,82,219,271,3,4,-0.61,0.04,5.98,164,221,45,254,17.72,40,255,84.31,10,10,9.1,9,2488,8.8,2592,0.895,6,31,41,10,72,0.439
30,Los Angeles Kings,2,29.3,82,199,259,3,4,-0.73,0.02,5.59,160,192,35,221,15.84,54,230,76.52,4,13,8.1,8,2358,8.4,2578,0.9,5,31,42,9,71,0.433
31,Ottawa Senators,2,27.3,82,242,301,0,1,-0.69,0.05,6.62,192,248,46,226,20.35,45,216,79.17,4,8,8.5,8.3,2429,10,2931,0.897,4,29,47,6,64,0.39
1,Nashville Predators*,1,28.4,82,261,204,6,7,0.71,0.03,5.67,193,145,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,11,53,18,11,117,0.713
2,Winnipeg Jets*,1,26.8,82,273,216,4,2,0.74,0.02,5.96,200,159,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,7,52,20,10,114,0.695
3,Tampa Bay Lightning*,1,27.5,82,290,234,6,2,0.66,-0.07,6.39,215,167,66,276,23.91,64,267,76.03,9,3,9.2,9.5,2680,10.8,2683,0.913,8,54,23,5,113,0.689
4,Boston Bruins*,1,28.6,82,267,211,3,3,0.62,-0.07,5.83,197,161,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,4,50,20,12,112,0.683
5,Vegas Golden Knights*,1,28,82,268,225,4,3,0.52,-0.01,6.01,207,176,53,248,21.37,44,237,81.43,8,5,6.8,7.5,2686,10,2521,0.911,5,51,24,7,109,0.665
6,Toronto Maple Leafs*,1,28.3,82,270,230,7,2,0.49,-0.06,6.1,210,182,56,224,25,43,231,81.39,4,5,7,6.9,2640,10.2,2776,0.917,8,49,26,7,105,0.64
7,Washington Capitals*,1,28.4,82,256,238,3,1,0.21,-0.04,6.02,197,177,55,244,22.54,53,269,80.3,4,8,9.8,9.2,2379,10.8,2613,0.909,3,49,26,7,105,0.64
8,Anaheim Ducks*,1,28.7,82,231,209,4,7,0.24,0.01,5.37,183,159,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,9,44,25,13,101,0.616
9,Minnesota Wild*,1,29.5,82,250,229,3,3,0.29,0.04,5.84,194,172,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6,45,26,11,101,0.616
10,San Jose Sharks*,1,28.8,82,247,226,5,3,0.28,0,5.77,186,189,53,257,20.62,34,224,84.82,8,3,7.7,8,2702,9.1,2488,0.909,6,45,27,10,100,0.61
11,Pittsburgh Penguins*,1,27.7,82,270,248,2,2,0.23,-0.04,6.32,196,192,68,260,26.15,53,265,80,6,3,9.5,9.1,2823,9.6,2553,0.903,4,47,29,6,100,0.61
12,Los Angeles Kings*,1,29.1,82,237,202,2,1,0.44,0,5.35,183,159,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,8,45,29,8,98,0.598
13,Philadelphia Flyers*,1,27.4,82,249,236,2,7,0.07,-0.03,5.91,192,172,54,261,20.69,54,223,75.78,3,10,8.3,9,2631,9.5,2448,0.904,3,42,26,14,98,0.598
14,New Jersey Devils*,1,27.7,82,243,240,5,4,0.02,-0.03,5.89,177,187,54,252,21.43,47,258,81.78,12,6,8.5,8.4,2599,9.3,2616,0.908,2,44,29,9,97,0.591
15,Columbus Blue Jackets*,1,26.4,82,236,226,6,4,0.11,-0.04,5.63,193,168,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5,45,30,7,97,0.591
16,Florida Panthers,2,27.8,82,245,243,3,3,-0.01,-0.04,5.95,188,193,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7,44,30,8,96,0.585
17,Colorado Avalanche*,1,26.4,82,255,236,2,1,0.28,0.04,5.99,183,178,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5,43,30,9,95,0.579
18,St. Louis Blues,2,28.5,82,223,222,3,0,0.1,0.05,5.43,180,166,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,44,32,6,94,0.573
19,Dallas Stars,2,28.5,82,231,222,4,3,0.17,0.04,5.52,177,158,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6,42,32,8,92,0.561
20,Calgary Flames,2,28.4,82,216,243,2,5,-0.33,0.03,5.6,166,187,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,37,35,10,84,0.512
21,Carolina Hurricanes,2,27,82,225,253,3,3,-0.35,-0.01,5.83,178,204,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,36,35,11,83,0.506
22,New York Islanders,2,28.4,82,261,293,3,3,-0.4,-0.01,6.76,198,219,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,35,37,10,80,0.488
23,Edmonton Oilers,2,26.8,82,229,262,5,1,-0.32,0.03,5.99,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,36,40,6,78,0.476
24,New York Rangers,2,28.7,82,228,263,3,5,-0.46,-0.01,5.99,172,212,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3,34,39,9,77,0.47
25,Chicago Blackhawks,2,28,82,228,254,1,2,-0.26,0.07,5.88,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,33,39,10,76,0.463
26,Vancouver Canucks,2,28.2,82,218,259,0,5,-0.51,0.05,5.82,158,189,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4,31,40,11,73,0.445
27,Detroit Red Wings,2,30.2,82,212,254,5,1,-0.48,-0.01,5.68,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,30,39,13,73,0.445
28,Montreal Canadiens,2,27.8,82,207,258,2,6,-0.68,0,5.67,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,29,40,13,71,0.433
29,Arizona Coyotes,2,26.5,82,206,251,2,5,-0.53,0.05,5.57,163,195,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,29,41,12,70,0.427
30,Ottawa Senators,2,29.3,82,219,284,2,7,-0.85,0,6.13,174,222,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,28,43,11,67,0.409
31,Buffalo Sabres,2,27.1,82,198,278,1,2,-0.98,0.01,5.8,140,216,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,25,45,12,62,0.378
1,Washington Capitals*,1,28.4,82,261,177,2,5,0.99,0,5.34,199,130,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12,55,19,8,118,0.72
2,Pittsburgh Penguins*,1,28.7,82,278,229,4,5,0.59,0.01,6.18,213,170,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5,50,21,11,111,0.677
3,Chicago Blackhawks*,1,29.4,82,240,212,4,1,0.32,-0.06,5.51,197,158,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4,50,23,9,109,0.665
4,Columbus Blue Jackets*,1,26.2,82,247,193,2,2,0.68,0.02,5.37,195,152,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8,50,24,8,108,0.659
5,Minnesota Wild*,1,28.3,82,263,206,3,2,0.63,-0.08,5.72,211,166,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5,49,25,8,106,0.646
6,Anaheim Ducks*,1,27.6,82,220,197,3,3,0.24,-0.04,5.09,164,147,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,46,23,13,105,0.64
7,Edmonton Oilers*,1,26.7,82,243,207,4,5,0.37,-0.06,5.49,183,159,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7,47,26,9,103,0.628
8,Montreal Canadiens*,1,28.8,82,223,198,3,2,0.31,-0.01,5.13,173,145,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5,47,26,9,103,0.628
9,New York Rangers*,1,28.3,82,253,216,3,4,0.47,0.03,5.72,197,166,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7,48,28,6,102,0.622
10,St. Louis Blues*,1,28,82,233,216,2,2,0.17,-0.04,5.48,180,171,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8,46,29,7,99,0.604
11,San Jose Sharks*,1,29.6,82,219,200,2,1,0.21,-0.03,5.11,171,153,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3,46,29,7,99,0.604
12,Ottawa Senators*,1,28.8,82,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,44,28,10,98,0.598
13,Boston Bruins*,1,28.8,82,232,209,2,3,0.27,0,5.38,169,165,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8,44,31,7,95,0.579
14,Toronto Maple Leafs*,1,26.2,82,250,234,1,8,0.11,0,5.9,186,183,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5,40,27,15,95,0.579
15,New York Islanders,2,28.4,82,239,238,2,4,0.03,0.05,5.82,199,190,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5,41,29,12,94,0.573
16,Nashville Predators*,1,27.9,82,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,41,29,12,94,0.573
17,Tampa Bay Lightning,2,26.8,82,230,224,4,3,0.09,0.01,5.54,164,168,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3,42,30,10,94,0.573
18,Calgary Flames*,1,28.3,82,222,219,4,2,0.02,-0.04,5.38,162,163,52,258,20.16,51,277,81.59,8,5,11.7,10.7,2388,9.3,2354,0.907,5,45,33,4,94,0.573
19,Philadelphia Flyers,2,27.6,82,212,231,7,5,-0.17,0.04,5.4,154,172,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5,39,33,10,88,0.537
20,Carolina Hurricanes,2,26.8,82,212,230,3,6,-0.21,0.05,5.39,161,192,41,231,17.75,32,202,84.16,10,6,5.8,6.6,2493,8.5,2320,0.901,3,36,31,15,87,0.53
21,Winnipeg Jets,2,26.1,82,246,255,3,1,-0.11,-0.03,6.11,188,184,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5,40,35,7,87,0.53
22,Los Angeles Kings,2,29.1,82,199,201,2,4,-0.07,-0.02,4.88,148,160,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9,39,35,8,86,0.524
23,Florida Panthers,2,28.6,82,205,231,5,6,-0.3,0.03,5.32,152,187,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4,35,36,11,81,0.494
24,Detroit Red Wings,2,28.4,82,198,244,9,0,-0.41,0.04,5.39,157,190,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4,33,36,13,79,0.482
25,Dallas Stars,2,28.5,82,222,260,1,2,-0.48,-0.01,5.88,171,184,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3,34,37,11,79,0.482
26,Buffalo Sabres,2,26.4,82,199,231,2,6,-0.41,0.03,5.24,139,174,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,33,37,12,78,0.476
27,New Jersey Devils,2,28.1,82,180,241,3,3,-0.67,0.08,5.13,130,176,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,28,40,14,70,0.427
28,Arizona Coyotes,2,27.3,82,191,258,6,2,-0.76,0.01,5.48,145,192,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,30,42,10,70,0.427
29,Vancouver Canucks,2,28.8,82,178,241,4,2,-0.73,0.01,5.11,144,183,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,30,43,9,69,0.421
30,Colorado Avalanche,2,27.6,82,165,276,1,2,-1.32,0.05,5.38,130,210,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,22,56,4,48,0.293
